SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED30076,29,29,58,650,862,1514,0,3,3,0,0,0,23,16,36,9364,7765,17125,502,684,1184,245,0,245,213,12,223,64,15,79,88,43,131,136,128,263,11306,9554,20865,25,28,48,0,0,0,0,0,0,16,12,27,5,9,13,0,0,0,44,53,91,4,0,4,0,0,0,116,151,265,28,66,93,10,4,17,156,220,380,125,47,171,329,319,650,19,13,31,13,11,26,0,0,8,35,31,64,454,723,1181,902,1441,2343,90,89,184,13126,12161,25280
SED30077,514,596,1110,1022,1264,2280,8,0,8,4,0,3,41,26,65,7532,6597,14136,419,706,1125,119,3,119,302,33,341,357,84,436,88,48,133,339,386,730,10735,9750,20486,103,93,196,0,0,0,0,0,0,122,155,283,17,29,46,15,7,23,256,290,543,0,0,0,0,0,0,44,54,96,20,40,63,14,22,39,86,118,198,115,60,175,453,465,918,27,28,53,8,15,19,3,6,7,35,50,79,433,622,1053,887,1552,2433,65,67,138,12610,12503,25113
SED30078,235,216,448,1086,1372,2457,4,3,7,0,0,5,41,18,60,10221,7094,17311,520,1121,1642,148,3,152,122,12,135,78,17,93,87,49,136,134,127,264,12678,10037,22712,66,65,129,0,0,0,0,0,0,61,45,106,12,13,24,9,0,7,140,123,268,0,0,0,0,0,0,121,145,259,38,104,140,12,5,20,172,249,427,123,74,202,438,449,890,31,30,63,14,17,34,3,0,3,44,50,97,521,655,1177,871,1277,2142,106,79,184,14654,12552,27204
SED30079,351,346,695,953,1240,2193,4,0,4,3,0,5,37,32,71,8211,5384,13596,575,958,1534,138,5,143,151,14,173,122,20,142,86,48,137,304,340,644,10946,8387,19329,92,105,195,0,0,0,0,0,0,40,60,105,10,10,19,5,0,6,148,177,329,0,0,0,0,0,0,74,59,138,24,69,97,8,11,18,112,143,257,122,44,167,384,367,746,42,28,71,4,17,23,4,3,5,46,45,94,378,506,882,795,1080,1880,129,92,217,12669,10476,23146
SED30080,153,121,270,206,206,408,9,3,13,332,478,806,34,32,64,9141,7362,16509,497,747,1247,115,5,115,220,34,256,272,144,413,180,114,298,948,1054,1993,12103,10292,22394,27,40,65,0,0,0,10,7,16,66,35,100,6,6,13,8,0,12,113,88,201,0,0,0,78,90,172,5,10,19,6,10,14,3,7,8,98,115,214,136,89,228,349,292,644,40,21,54,10,16,31,10,9,22,59,50,107,921,1044,1969,972,1384,2354,130,122,260,14535,13187,27729
SED30081,0,8,9,185,87,271,3,3,7,0,0,3,12,16,24,8716,8700,17419,689,769,1457,199,10,209,236,34,263,142,45,188,155,37,194,170,150,318,10515,9852,20365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,8,8,13,8,9,17,6,5,12,22,19,49,94,57,152,121,80,201,0,0,0,4,4,8,9,0,9,13,4,19,186,379,564,981,1343,2328,109,69,176,11917,11730,23650
SED30082,3,3,9,65,33,103,0,3,4,0,0,0,33,38,73,8181,7378,15567,635,757,1392,180,10,185,180,15,193,166,40,209,70,35,109,444,422,867,9968,8735,18705,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,5,3,5,0,7,11,5,7,10,7,18,24,93,63,161,106,85,193,0,0,0,0,6,3,5,0,9,4,7,10,354,552,902,804,1354,2155,88,88,182,11332,10813,22145
SED30083,8,3,11,47,48,96,0,0,0,0,3,3,37,39,77,8209,7577,15780,711,831,1542,140,5,141,162,8,169,186,43,224,72,28,101,310,289,608,9873,8881,18755,3,0,3,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,14,3,14,0,0,0,0,0,0,4,3,5,0,5,6,4,0,4,9,13,25,107,58,162,123,74,200,0,0,0,4,4,11,3,3,3,5,9,12,273,438,716,762,1322,2088,81,69,144,11129,10791,21918
SED30084,3,0,3,184,155,343,30,25,51,0,3,3,25,24,54,7953,7605,15557,658,754,1412,143,5,149,259,53,312,368,124,489,142,45,188,626,579,1210,10384,9385,19765,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,5,3,8,3,3,9,0,0,0,6,5,8,5,9,17,9,4,10,25,22,46,154,127,277,177,151,328,0,0,0,11,15,26,25,18,47,44,38,77,283,458,744,883,1261,2141,98,86,189,11873,11378,23254
SED30085,5,0,5,75,26,94,0,0,4,0,0,0,3,11,16,5781,4877,10655,513,495,1009,311,6,316,109,32,139,113,44,154,191,75,269,725,700,1422,7817,6267,14083,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,5,7,0,0,0,4,0,4,8,5,11,96,36,125,107,41,144,0,0,0,3,0,3,22,6,20,24,4,28,1363,1187,2556,645,913,1552,146,132,281,10105,8534,18642
SED30086,319,318,636,173,318,488,3,0,3,4,0,3,18,9,29,10226,8225,18447,798,853,1657,317,3,319,242,14,256,60,16,72,100,27,127,151,185,341,12409,9975,22386,45,45,86,0,0,0,0,0,0,49,71,117,17,30,45,22,0,28,130,147,277,3,0,3,0,0,0,43,67,108,19,29,47,3,3,10,67,100,163,120,64,187,315,310,623,33,41,79,8,3,7,4,0,6,46,43,91,271,501,778,890,1371,2262,144,129,272,14073,12332,26408
SED30087,9,3,14,505,170,678,63,24,81,0,0,3,29,21,52,9830,8735,18565,731,734,1461,219,13,229,180,31,208,124,39,161,258,158,415,840,730,1569,12794,10657,23444,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,10,4,15,0,0,0,38,6,45,11,10,22,5,6,9,59,24,84,202,59,262,266,92,357,3,0,3,15,5,17,15,8,18,27,11,43,504,901,1404,1480,1584,3062,134,128,263,15205,13370,28572
SED30088,197,213,414,273,421,692,0,3,3,0,0,0,41,21,59,9116,6298,15416,850,872,1724,238,8,247,202,20,221,62,10,74,82,44,124,139,151,286,11213,8050,19268,46,63,111,0,0,0,0,0,0,35,44,73,15,18,35,10,3,11,104,121,227,0,3,3,0,0,0,64,81,140,8,45,51,0,3,9,78,131,205,111,44,152,289,300,585,20,27,50,0,7,6,3,0,3,29,28,59,168,317,491,805,1051,1851,178,141,316,12687,9885,22576
SED30089,651,709,1356,1059,1424,2488,4,4,8,0,0,0,39,21,60,7817,6546,14361,463,771,1228,108,4,111,280,38,315,652,207,862,68,41,114,306,334,638,11452,10090,21540,140,141,283,0,0,0,0,0,0,49,64,112,14,34,43,27,11,32,224,248,475,0,0,0,0,0,0,68,71,139,27,56,81,26,11,39,124,140,269,103,71,173,456,460,921,35,37,76,7,16,22,4,0,8,50,55,99,530,648,1180,1025,1743,2771,75,63,142,13587,13058,26645
SED39494,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
SED39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
